"n","power","test","eps","eff","d","nzero"
1,0.6846,"Public","100","0.3","60","40"
3,0.899,"Public","100","0.3","60","40"
5,0.9724,"Public","100","0.3","60","40"
7,0.9958,"Public","100","0.3","60","40"
9,0.9992,"Public","100","0.3","60","40"
10,0.9996,"Public","100","0.3","60","40"
20,1,"Public","100","0.3","60","40"
30,1,"Public","100","0.3","60","40"
40,1,"Public","100","0.3","60","40"
50,1,"Public","100","0.3","60","40"
60,1,"Public","100","0.3","60","40"
70,1,"Public","100","0.3","60","40"
80,1,"Public","100","0.3","60","40"
90,1,"Public","100","0.3","60","40"
100,1,"Public","100","0.3","60","40"
2000,1,"Public","100","0.3","60","40"
200,1,"Canonne","1","0.3","60","40"
300,1,"Canonne","1","0.3","60","40"
400,0.489,"Canonne","1","0.3","60","40"
500,0.491,"Canonne","1","0.3","60","40"
600,0.539,"Canonne","1","0.3","60","40"
700,0.505,"Canonne","1","0.3","60","40"
800,0.505,"Canonne","1","0.3","60","40"
900,0.528,"Canonne","1","0.3","60","40"
1000,0.513,"Canonne","1","0.3","60","40"
1100,0.536,"Canonne","1","0.3","60","40"
1200,0.613,"Canonne","1","0.3","60","40"
1300,0.772,"Canonne","1","0.3","60","40"
1400,0.884,"Canonne","1","0.3","60","40"
1500,0.958,"Canonne","1","0.3","60","40"
1600,0.995,"Canonne","1","0.3","60","40"
1700,1,"Canonne","1","0.3","60","40"
1800,1,"Canonne","1","0.3","60","40"
1900,1,"Canonne","1","0.3","60","40"
2000,1,"Canonne","1","0.3","60","40"
3,0.550666955296001,"Test of tests","1","0.3","60","40"
8,0.634305135319965,"Test of tests","1","0.3","60","40"
10,0.667136773537062,"Test of tests","1","0.3","60","40"
20,0.799372982618737,"Test of tests","1","0.3","60","40"
30,0.871083830457971,"Test of tests","1","0.3","60","40"
40,0.924144514279201,"Test of tests","1","0.3","60","40"
50,0.950677529157513,"Test of tests","1","0.3","60","40"
60,0.96852363147243,"Test of tests","1","0.3","60","40"
70,0.97124430549233,"Test of tests","1","0.3","60","40"
80,0.981157103313217,"Test of tests","1","0.3","60","40"
90,0.991377206346084,"Test of tests","1","0.3","60","40"
100,0.994385628011735,"Test of tests","1","0.3","60","40"
200,0.999202220523604,"Test of tests","1","0.3","60","40"
300,0.999958723909826,"Test of tests","1","0.3","60","40"
400,0.999997841426544,"Test of tests","1","0.3","60","40"
500,0.999999887441394,"Test of tests","1","0.3","60","40"
600,0.999999986000239,"Test of tests","1","0.3","60","40"
700,0.999999999688548,"Test of tests","1","0.3","60","40"
800,0.9993367964189,"Test of tests","1","0.3","60","40"
900,0.999752522649438,"Test of tests","1","0.3","60","40"
1000,0.999755169730461,"Test of tests","1","0.3","60","40"
1000,0.999755169730461,"Test of tests","1","0.3","60","40"
1500,0.999995507528933,"Test of tests","1","0.3","60","40"
2000,0.999999918353553,"Test of tests","1","0.3","60","40"
